text,label
Purnomo Serahkan Surat Mundur dari Pilkada  ke DPC PDIP Solo,0
Pemkot Bekasi Teken Aturan Tempat Hiburan Menuju New Normal,0
"New Normal 5 Juni, ASN Tak Mesti Berbondong-bondong ke Kantor",0
WHO Waspadai Banyak Kematian di Puncak Kedua Pandemi Corona,1
VIDEO: Trump Ancam Tutup Twitter,1
Hong Kong Peringatkan AS atas Konsekuensi Hapus Status Khusus,0
Telkom Donasi Bantuan Robot Disinfeksi untuk Atasi Covid-19,0
"Dihantam Corona, AirAsia Rumahkan 873 Pegawai",0
89 Proyek Senilai Rp1.422 T Direkomendasikan Masuk PSN,0
Presiden UFC: Mike Tyson Siapkan Petarungan Besar,1
Laga Penentuan Gelar Liverpool Berpeluang di Tempat Netral,0
"FOTO : Via Zoom, Cara Baru Suporter Denmark Menonton Laga",1
"Nissan Indonesia Tutup Pabrik, Produksi Mobil Listrik Batal",0
Menakar Kemampuan Kapal Perang China ala Xi Jinping,1
Pemilik Royal Enfield Keluhkan Mesin Bermasalah,1
Sinopsis Space Force yang Dibintangi Steve Carell-Lisa Kudrow,0
"Raih Rating Tinggi, Hospital Playlist Bersiap untuk Season 2",0
Sekuel Film Sonic the Hedgehog dalam Tahap Pengembangan,0
7 Tips Aman dan Bersih Mengolah Jamu di Rumah,1
Rumus Melawan Virus,1
Mengenal Zodiak Gemini dan Sifatnya yang Cerdas,0
Nasib Rossi di MotoGP Segera Ditentukan,0
Daftar Bocoran 38 Gim yang Bakal Muncul di PS5,1
"VIDEO: Minneapolis Membara, Tuntut Keadilan George Floyd",1
"Diteruskan ke Surabaya, Jepang Akan Ikut Garap Kereta Cepat",0
"Kasus Baru Corona di DKI Tak Lagi Tertinggi, Didominasi TKI",0
"Jumatan Masjid Al Barkah Bekasi, Barisan Salat Hingga di Luar",0
"Target Pendapatan DKI Jakarta Meleset Rp40,7 T karena Corona",0
135 Tenaga Medis Jatim Positif Terinfeksi Corona,0
Maklumat New Normal MUI: Jumatan Bisa Digelar di Zona Hijau,0
Anies Jamin Tak Putus Tenaga Kontrak DKI di Masa Corona,0
Manfaat Jambu Air Putih: Jaga Sistem Imun dan Cegah Infeksi,0
VIDEO: BI Gelontorkan Rp.200 T Untuk Beli SBN,1
VIDEO: Ratusan WNI Dari Afsel & Australia Tiba di Indonesia,0
5 Rekomendasi Drama Korea Terbaru Juni 2020,1
New Normal Corona AS dan Malapetaka dari Keangkuhan Warga,1
"Legowo Sukino, Lebaran Tanpa Anak Cucu: Yang Penting Sehat",0
"Masak Bareng Tetangga, Momen Guyub Lebaran di Tengah Corona",1
Sujud Husain Abdullah yang Mengubah American Football,1
"Amir Khan, Petinju Pejuang 'Wajah' Muslim Sejati",1
Frederic Kanoute dan Perilaku Islami di Lapangan Hijau,1
MUI Lapor Polisi soal Hoaks Imbau Jangan Percaya Rapid Test,0
Menggantungkan Hidup Petani dalam Sebongsang 'Donasi Sayur',1
"Masker Kaos Kaki, Tutorial Baru DIY Pelindung Wajah",1
FOTO:Parade Kostum Hiburan Di Tengah Pandemi Corona,1
"PSBB DKI dan Bodebek Sampai 4 Juni, Tangerang Bahas Hari Ini",0
Panduan New Normal dari Terawan,1
Der Klassiker di Tengah Pandemi,1
Idulfitri di Tengah Pandemi,0
Ngadu Bola Antar-Kampung,0
Babad Pentas Srimulat,0
"UU Minerba, Aturan Oligarkis di Era Milenial",1
Api Semangat Melawan Corona dari K-Olahraga,0
Memandang Status Legenda Tontowi Ahmad dengan Mata Terbuka,1
Corona dan Isu-isu yang Menghantui RI Sesudahnya,1
Gambaran Dahsyatnya Corona Menghantam Industri Penerbangan,1
"New Normal, Bank Mandiri Mulai Buka Kantor Cabang",0
Jokowi Putuskan Kereta Cepat JKT-BDG Nyambung ke Surabaya,0
Rumah Kontrakan Warga yang Baru Pulang Mudik di Jagakarsa Ditempel Stiker,0
Salat Jumat Saat PSBB Masih Berlaku,0
Polri: 103.961 Kendaraan Diputar Balik Selama Arus Mudik-Balik,0
Kondisi Terkini Proyek Tol Serpong-Cinere,1
"Setelah 8 Tahun Rugi, Krakatau Steel Akhirnya Cetak Laba Rp 1 T",0
"Petugas PLN Mulai Keliling Lagi, Masih Perlu Foto Meteran?",1
Layanan SIM-STNK Masih Ditutup hingga 29 Juni,0
PBB Kutuk Keras Pembunuhan George Floyd oleh Polisi AS,0
"Hari Terakhir Isi Sensus Penduduk Online, Begini Caranya",1
Pakai Masker di Rumah Bisa Kurangi Penyebaran Corona hingga 70 Persen,0
"Ancam Tutup Media Sosial, Trump Sebut Twitter Berpolitik",0
Unik! Warga Magetan Usir Pendatang dengan Meriam Bambu,1
Nikita Mirzani Siap Sambut Era New Normal,0
Blak-blakan Edisi Kangen Mal,1
"Pencinta Kopi, Ini 5 Tempat Beli Kopi Susu Satu Liter yang Hits",1
"Dibunuh Polisi AS, George Floyd Dikenal Sebagai Pria Besar Berhati Lembut",0
"685 Pasien Positif Corona Dirawat di RSD Wisma Atlet, 29 di RSD Pulau Galang",0
Seorang Karyawan Toserba di Ciamis Terkonfirmasi Positif COVID-19,0
NASA Tunda Peluncuran Roket SpaceX Elon Musk,0
"Orang Miskin RI Bakal Bertamabah karena Corona, Paling Banyak di Jawa",1
"Hamil Anak ke-5, Zaskia Mecca dan Hanung Sempat Ingin Gugurkan Kandungan",1
"Masjid Singapura Dibuka Lagi 2 Juni, Sediakan Tempat Salat Terbatas",0
TRANSMEDIA dan CT ARSA Foundation Galang Donasi Lawan Corona,0
"Pasangan Transgender Jadi Sorotan, Suami Lagi Hamil 8 Bulan",1
'Iron Man' Dapat Bonus Rp 11 Triliun dari Tesla,1
Dua Truk Penambang Pasir Terseret Banjir Lahar Hujan Gunung Semeru,0
"Jelang New Normal, Polda Sumut Siapkan Video Call Tahanan-Keluarga",0
Ai Weiwei Jual Masker Wajah Artsy Rp 733 Ribu untuk Galang Dana COVID-19,0
5.363 Kendaraan Dihalau Masuk ke Perbatasan Jabar Selama PSBB,0
"Cabut PSBB, Bukittinggi Buka Tempat Wisata",0
Ritel Jepang Babak Belur Dihantam Corona,1
"Promo Lebaran, Mobil-mobil Ini Didiskon Hingga Rp 100 Juta",1
"Pulang Mudik dari Tegal, 4 Warga Karantina Mandiri di Lenteng Agung",0
Juventus-Lazio: Persaingan Scudetto di Era New Normal,0
Chef Arab Masak Buaya Utuh hingga Curhat Ojol Antre Lama di Restoran,1
Viral Foto Haru Bocah 3 Tahun Ikut Ayahnya Kerja Antar Makanan,1
Galaxy Fold 2 Disebut Siap Meluncur Agustus 2020,0
Ini Kronologi Kasus dr A Divonis Lakukan Kekerasan Psikis ke Ortu Kandung,1
Semangat Pak Anang Mencari Nafkah di Usia Senja,1
"Kronologi Kematian George Floyd, Pria Kulit Hitam yang Dibunuh Polisi AS",1
"Usai 7 Juni, Check Point Pemeriksaan SIKM Ditarik Mundur ke Perbatasan DKI",0
Pecatan TNI Ruslan Buton Dibawa ke Bareskrim Polri,0
Podcast Tolak Miskin: New Normal Buat Siapa?,1
Lengkap! Tahap demi Tahap Pembukaan Mal Mulai Juni,1
"RI Perlu Waspada, Jangan Sampai Terseret ke Jurang Resesi!",1
Tolong Dibaca! Cara Lapor Meteran Listrik Lewat WA,1
Pengumuman! New Normal buat PNS Mulai 5 Juni,1
9.000 Ton Gula India Bakal Masuk Indonesia,0
"Indonesia & Korea Bikin Vaksin Corona, Uji Coba Juni",1
Mal Jadi Dibuka Lagi? Mendag: Juni Ini Pasti!,1
Duh! Jumlah Orang Miskin Akan Bertambah,1
"Katanya Ada Insentif buat Tenaga Medis, Kok Belum Cair?",1
"Direstui Jokowi, Kereta Cepat Bakal Bablas ke Surabaya",0
Erick Thohir Buka Rahasia Krakatau Steel Untung Rp 1 T,0
Bahaya di Balik Peserta BPJS Kesehatan Turun Kelas karena Iuran Naik,0
BI Ramal Pelemahan Ekonomi RI Berlanjut hingga Kuartal III,0
"Indonesia Dapat Pinjaman Rp 3,6 T dari Bank Dunia",0
Kemendag Temukan 4 Distributor Nakal yang Bikin Harga Gula Mahal,1
"Pembebasan Lahan Akses Bandara Blora Ditunda, Kenapa?",1
Lengkap! Begini Skema New Normal di Sektor Perdagangan,1
"WFH PNS Diperpanjang hingga 4 Juni, Nasib Proyek Kereta Cepat",1
"Sisa 22 Kabupaten Belum Salurkan BLT Dana Desa, Ini Daftarnya",1
Video Pernyataan Mendag Tegaskan Mal Dibuka Juni,0
"Juni, Indonesia-Korsel Uji Vaksin COVID-19",1
"Jelang New Normal, Ini Jurus Mendag Buka Aktivitas Perdagangan",1
Maskapai di AS Ramai-ramai PHK Karyawan,0
"Diperpanjang, Kerja dari Rumah PNS Lanjut Sampai 4 Juni",0
Wajah Baru Stasiun Tanah Abang Kece Abis,1
Penjelasan soal Rencana 500 Pekerja China Masuk RI,0
Mendag Pastikan Mal Dibuka Juni,0
Puji Syukur Erick Thohir Usai Sri Mulyani Bayar Utang ke BUMN,0
Erick Thohir Ungkap Rahasia Krakatau Steel Untung Rp 1 T,1
AirAsia Indonesia PHK dan Rumahkan 882 Karyawan Gara-gara Corona,0
"Ini Lho Jembatan Kereta Api Terpanjang di Indonesia, Penasaran?",1
Gaji Pegawai Bioskop CGV Dipotong 50% Imbas Corona,0
"3 Penyakit yang Biasa Muncul Saat Lebaran, Ini Cara Atasinya",1
"Masker Kain Vs Face Shield, Mana yang Lebih Ampuh Tangkal Corona?",1
"Cabin Fever, Gangguan yang Timbul karena Terlalu Lama di Rumah",1
Dokter Ingatkan Ancaman Kluster Baru Corona Jika Sekolah Buru-buru Dibuka,0
"Unik! Pakai APD Superhero di RS, Dokter Nyentrik di Bogor Ini Viral",1
Ini yang Akan Dialami Tubuh Jika Terlalu Lama 'Absen' Bercinta,1
5 Kebiasaan Sebelum Tidur Ini Bisa Bantu Turunkan Berat Badan,1
"Sudah Sembuh dari Virus Corona, Amankah untuk Langsung Berhubungan Seks?",1
Eksperimen Ini Simulasikan Persebaran Virus Corona dalam Ruangan,1
Aksi Veteran Inggris Bantu Sehatkan Mental Anak-anak saat Pandemi,0
Panduan Meracik Jamu Herbal dari BPOM untuk Tingkatkan Imunitas,1
Menikmati Pemandangan Alam Cemoro Sewu Saat Pandemi,0
Saran Ahli Gizi UNS Soal Tradisi Kupatan di Tengah Pandemi,0
"Pasien Corona yang Sembuh Tambah 252, Rekor Terbanyak dalam Sepekan",0
"Mengenal Ad5-nCov, Vaksin Corona untuk Antibodi COVID-19",1
"Sebaran Pasien Virus Corona di Indonesia, 6.492 Sembuh, 1.520 Meninggal",0
"Tembus 25.216 Kasus, Ini Sebaran 678 Kasus Baru Corona di Indonesia 29 Mei",0
8 Wilayah Indonesia Ini Nihil Kasus Baru Virus Corona 29 Mei,1
"Update Corona di Indonesia 29 Mei: 25.216 Positif, 6.492 Sembuh, 1.520 Meninggal",0
Studi Tunjukkan Risiko Pasien Kanker Jika Terpapar Virus Corona,0
Gelar Miliarder Kylie Jenner Dicabut oleh Forbes,1
"Jadi Sutradara dan Pemain di 'Sementara, Selamanya', Reza Rahadian Kerepotan",1
"Isolasi Mandiri, Prilly Latuconsina Punya Hobi Baru Hingga Potong Rambut Sendiri",0
Dugaan Usaha Menjatuhkan Syahrini Lewat Video Syur,0
"Bakal Jadi Ayah, Jo Jung Suk Belajar dari Lee Ik Jun 'Hospital Playlist'",0
"Marion Jola Pamer Punggung Kerokan, Tetap Indah di Mata Netizen",1
"Hamil Lagi, Zaskia Adya Mecca Titip Pesan untuk 4 Anaknya",1
"Jalani Syuting Minimalis, Reza Rahadian Harap Dapat Digunakan saat New Normal",0
Lihat Keceriaan Zaskia Adya Mecca dan ke-4 Anaknya,0
Curhat Via Vallen Dikucilkan karena Adik Positif Corona,1
Bintang 'Spider-Man' Bicara Tweet Kontroversial soal George Floyd,1
Siapa Terlibat Konspirasi Jatuhkan Syahrini?,1
Isyana Sarasvati Tantang AIB Jamming Lagu 'Lexicon',0
Tantangan Rizky Febian untuk AIB Show: Dangdut Koplo 'Penantian Berharga',1
Amarah Atas Kematian George Floyd,0
"Jarak Bukan Masalah, Wulan Guritno Bahagia Dapat Surprise Ultah di Masa Pandemi",0
"Reza Rahadian-Laura Basuki Bersatu Lagi di 'Sementara, Selamanya'",0
Duh! Ariel Tatum Ternyata Korban Bully,1
Gokil! Jamming Session Bareng 'AIB Show' Perdana di detikcom,1
"Ogah Perpanjang Masalah, Prilly Anggap Andre-Rina Bercanda Plesetkan Latuconsina",0
"Syuting Miniseri saat Pandemi, Reza Rahadian Pangkas Jumlah Kru",0
"Bebas Wamil, Begini Penampilan Jang Geun Suk Terkini",1
Ini Kriteria Kalau Mau Jadi Session Player Isyana Sarasvati,1
"Mini Series 'Sementara, Selamanya' Jadi Proyek Iseng Reza Rahadian",0
Gambaran Bioskop New Normal Versi Reza Rahadian,1
Masuk Sini! Ada CD NCT 127 'Neo Zone: The Final Round' Bertanda Tangan,1
"Bakal Urus Royalti Didi Kempot, Keluarga Kini Fokus Kirim Doa",0
Prilly Latuconsina Nggak Ngebet Jalan-jalan ke Mal,0
Pertarungan Sengit IUxSuga dan OST 'Hospital Playlist' di Chart Musik,1
"Punya Rumah Mewah, Satu Cita-cita Prilly Latuconsina Terwujud",0
Gurita Terdalam Dunia Ditemukan di Palung Jawa,1
Serangan Siber Canggih dari China Incar Indonesia dan Sejumlah Negara!,1
"Trump Hapus Perlindungan Hukum Medsos, Twitter dan Facebook Melawan",1
Foto-foto Proyek Keren Buatan Netizen Selama di Rumah,1
9 Hewan Raksasa yang Pernah Berdampingan dengan Manusia,1
Roket SpaceX Meledak Sehari Sebelum Peluncuran Bersejarah,0
"Tertunda Badai, 2 Astronaut NASA Siap Meluncur Akhir Pekan",0
Melihat Canggihnya Baju Astronaut Buatan SpaceX,1
"Perangkat Anti 5G Bodong Beredar, Ternyata Cuma Flash Disk",1
Ilmuwan Temukan Dinosaurus yang Diduga Kanibal,0
Smartphone Ini Bikin Mudah Bereskan KerjaanÂ Numpuk Usai Lebaran,1
Kenapa Siri dan Asisten Virtual Lainnya Pakai Suara Perempuan?,1
Pendiri Zoom Ungkap Momen Paling Mengagetkan di Layanannya,1
Fitur Baru Youtube Bisa Lompati Video yang Ingin Dituju,0
Booyah! Nonton Turnamen Free Fire Asia All-Stars Bisa dari Rumah,0
"Mantul! LINE Rilis Platform PC Gaming, Ada Game Apa Saja?",1
Epic Games Store Gratiskan Borderlands: The Handsome Collection,0
"Ilmuwannya Curiga Corona Buatan Lab, Ini Tanggapan Australia",1
"HP Reverb G2, Headset VR dengan Resolusi Tinggi",0
Wah! Ada Planet Mirip Bumi di Bintang Terdekat Tata Surya Kita,1
Zuckerberg Ambil Sikap Beda Soal Cek Fakta Ucapan Politisi,1
Pengguna Kini Bisa Jadwalkan Postingan di Twitter,0
"Selama Lebaran dan PSBB, Pelanggan Indosat Hobi Streaming Video",0
"Biar Zoom Tambah Seru, Ini Kumpulan Ide Background Lucu",1
"Kejanggalan Plandemic, Film Konspirasi COVID-19 yang Kontroversial",1
New Normal Ubah Gaya Layanan Operator Seluler ke Pelanggan,0
Donald Trump Serang Pegawai Twitter karena Masalah Cek Fakta,0
"Pakai AI, Grab Delivery Doodles Ubah Coretan Anak Jadi Makanan",1
"Mi TV 4 55 Inch, Suguhkan Layar 4K Tanpa Menguras Dompet",0
Google Temukan Perusahaan Hacker Bayaran Asal India,1
"Telkom Kirim Robot Disinfeksi ke Gugus Tugas COVID-19, Ini Fungsinya",1
"#BlackLivesMatters, Tuntutan Keadilan George Floyd yang Dibunuh Polisi AS",1
PSBB Bandung dan Jawa Barat Diperpanjang Jadi Bahasan di Twitter,0
Pekerjaan yang Paling Dicari di Era New Normal,1
Facebook Tiru TikTok dan Luncurkan Collab,0
"New Normal Adalah Saatnya VR, Pendiri HTC Luncurkan XRSpace",0
"Google Translate Kini Bisa Terjemah Langsung, Tersedia Versi Android",0
"5 Starter Pack Menghadapi Kehidupan New Normal, Apa Saja?",1
"Lebih Mudah Berkonsentrasi pada Pagi Hari, Ini 4 Kelebihanmu",1
Menilik Risiko Bahaya Penggunaan Masker bagi Anak di Bawah Usia 2 Tahun,1
"Angket Kembali ke Sekolah di Masa Pandemi Virus Corona Disebar, Begini Hasil Sementaranya",1
"Show Tanpa Batas, Senayan City Persembahkan Koleksi Fashion Sav Lavin dan Mel Ahyar Secara Virtual",0
"Teman Sejati, 3 Zodiak Ini Bisa Dipercaya untuk Menjaga Rahasia",0
[Quiz] 3 Zodiak Paling Jujur Membuatnya Terhindari dari Selingkuh,0
Prediksi Ramalan Zodiak Taurus di Bulan Juni 2020,0
Inilah 6 Zodiak yang Paling Setia dengan Pasangan Menurut Astrologi,0
Mengenal Pesona Gebetan dari Golongan Darah Ikuti quiz berikut ini untuk mengetahui pesona dan karakter gebetan berdasarkan golongan darah,1
Prediksi Ramalan Zodiak Cancer di Bulan Juni 2020 Ini prediksi zodiak Cancer selama bulan Juni 2020 secara keseluruhan.,0
Kenapa Seseorang yang Pernah Selingkuh Bisa Kambuh Selingkuh Lagi? Sekali selingkuh bisa selingkuh berkali-kali.,1
New Normal Adalah Beradaptasi dengan Kondisi Baru ,0
"3 Cara Membangun Kembali Kepercayaan dari Pengkhianatan Pasangan Lakukan 3 hal berikut ini, jika hendak membangun kembali kepercayaan dari pasanganmu.",1
"Teman Sejati, 3 Zodiak Ini Bisa Dipercaya untuk Menjaga Rahasia Simak zodiak apa saja yang bisa menjaga rahasia",0
Prediksi Ramalan Zodiak Gemini di Bulan Juni 2020 Ini ramalan untuk zodiak Gemini selama Bulan Juni 2020 secara menyeluruh.,0
[Quiz] 3 Zodiak Paling Jujur Membuatnya Terhindari dari Selingkuh Zodiak yang paling jujur dan membentenginya dari perselingkuhan,0
6 Manfaat Mengonsumsi Buah Pisang untuk Kesehatan Tubuh Berikut ini adalah manfaat buah pisang yang sangat bermanfaat untuk kesehatan tubuh.,0
"Yuk, Pangkas 4 Pos Keuangan Selama Pandemi Virus Corona Bagaimana caranya berhemat di tengah pandemi? Simak informasi selengkapnya di sini!",1
"Prediksi Ramalan Zodiak Taurus di Bulan Juni 2020 Ini ramalan zodiak Taurus secara umum, cinta, karir dan keuangan selama bulan Juni 2020.",0
3 Langkah Sederhana untuk Menurunkan Berat Badan dengan Cepat,1
"Susah Dapat Pekerjaan, yang Disesali adalah Belum Bisa Membahagiakan Ibu",0
Cara Membuat Tempoyak Udang Petai yang Sedap,0
Resep Ayam Goreng Sasando khas Nusa Tenggara Timur,0
DIY Kit Jadi Tren Aktivitas Baru di Rumah Saat Pandemi Virus Corona,0
Kebahagiaan Itu Sebenarnya Sangat Dekat dengan Kita,0
"Tidak Perlu Panik, Ini Alasan Siklus Menstruasi Berubah Selama Pandemi",1
5 Khasiat Minyak Marula untuk Kesehatan dan Kecantikan Kulit,1
Resep Es Jaipong yang Segar,0
Resep Tahu Isi Bihun Gurih Enak,0
Intip Koleksi Mainan Terbaru untuk Temani Anak di Rumah Saat Pandemi Virus Corona,0
5 Zodiak Berikut Lebih Suka Mencari Pasangan untuk Jangka Panjang,0
4 Risiko Pergi ke Gym Selama Pandemi Virus Corona di Era New Normal,0
"Menu Hari Ini Serba Buncis: Tumis, Campur Daging dan Buncis Goreng",0
Syarat Destinasi Wisata Indonesia Bisa Dibuka Lagi di Era New Normal,0
Resep Ikan Dori Asam Manis,0
The Ickabog Cerita Terbaru J.K. Rowling yang Bisa Dinikmati Gratis Selama Pandemi,0
"Memahami Makna New Normal di Tengah Pandemi Virus Corona Apa itu new normal di tengah pandemi virus Corona, penasaran? Simak di sini.",1
